Pixel,Wavelength,Dark,Reference,Raw data #1,Dark Subtracted #1,%TR #1,Absorbance #1,Raw data #2,Dark Subtracted #2,%TR #2,Absorbance #2,Raw data #3,Dark Subtracted #3,%TR #3,Absorbance #3,Errands Ref,Errands Fit,Irradiance_1,Irradiance_2,Irradiance_3
0,231.94,763.6,781.85,795.5,31.9,110.0,-0.0414,0.0,-763.6,0.0,6.8165,0.0,-763.6,0.0,6.8165,1.0,0.0,0.0,0.0,0.0
1,232.35,763.6,781.85,795.5,31.9,110.0,-0.0414,0.0,-763.6,0.0,6.8165,0.0,-763.6,0.0,6.8165,1.0,0.0,0.0,0.0,0.0
2,232.76,787.05,784.05,775.65,-11.4,110.0,-0.0414,0.0,-787.05,110.0,-0.0414,0.0,-787.05,110.0,-0.0414,1.0,0.0,0.0,0.0,0.0
3,233.16,745.9,747.1,738.35,-7.55,0.0,6.8165,0.0,-745.9,110.0,-0.0414,0.0,-745.9,110.0,-0.0414,1.0,0.0,0.0,0.0,0.0
4,233.57,781.1,780.8,771.6,-9.5,110.0,-0.0414,0.0,-781.1,110.0,-0.0414,0.0,-781.1,110.0,-0.0414,1.0,0.0,0.0,0.0,0.0
5,233.98,783.5,784.4,768.45,-15.05,0.0,6.8165,0.0,-783.5,110.0,-0.0414,0.0,-783.5,110.0,-0.0414,1.0,0.0,0.0,0.0,0.0
6,234.38,778.05,778.75,793.05,15.0,110.0,-0.0414,0.0,-778.05,0.0,6.8165,0.0,-778.05,0.0,6.8165,1.0,0.0,0.0,0.0,0.0
7,234.79,791.45,791.3,772.65,-18.8,110.0,-0.0414,0.0,-791.45,110.0,-0.0414,0.0,-791.45,110.0,-0.0414,1.0,0.0,0.0,0.0,0.0
8,235.2,783.05,777.7,782.0,-1.05,19.6262,0.7072,0.0,-783.05,110.0,-0.0414,0.0,-783.05,110.0,-0.0414,1.0,0.0,0.0,0.0,0.0
9,235.6,784.25,785.3,782.75,-1.5,0.0,6.8165,0.0,-784.25,0.0,6.8165,0.0,-784.25,0.0,6.8165,1.0,0.0,0.0,0.0,0.0
10,236.01,783.95,773.0,794.0,10.05,0.0,6.8165,0.0,-783.95,0.0,6.8165,0.0,-783.95,0.0,6.8165,1.0,0.0,0.0,0.0,0.0
11,236.41,782.85,773.4,776.35,-6.5,68.7831,0.1625,0.0,-782.85,0.0,6.8165,0.0,-782.85,0.0,6.8165,1.0,0.0,0.0,0.0,0.0
12,236.82,773.0,786.05,776.05,3.05,23.3716,0.6313,0.0,-773.0,0.0,6.8165,0.0,-773.0,0.0,6.8165,1.0,0.0,0.0,0.0,0.0
13,237.23,782.1,788.6,788.9,6.8,104.6154,-0.0196,0.0,-782.1,110.0,-0.0414,0.0,-782.1,110.0,-0.0414,1.0,0.0,0.0,0.0,0.0
14,237.63,784.5,785.35,795.3,10.8,110.0,-0.0414,0.0,-784.5,110.0,-0.0414,0.0,-784.5,110.0,-0.0414,1.0,0.0,0.0,0.0,0.0
15,238.04,780.15,779.0,783.85,3.7,0.0,6.8165,0.0,-780.15,0.0,6.8165,0.0,-780.15,0.0,6.8165,1.0,0.0,0.0,0.0,0.0
16,238.44,784.85,787.65,778.0,-6.85,0.0,6.8165,0.0,-784.85,0.0,6.8165,0.0,-784.85,0.0,6.8165,1.0,0.0,0.0,0.0,0.0
17,238.85,800.85,768.2,766.0,-34.85,106.7381,-0.0283,0.0,-800.85,110.0,-0.0414,0.0,-800.85,110.0,-0.0414,1.0,0.0,0.0,0.0,0.0
